cell_id,group,cluster,c_gini,c_ploidy
SRR054626,A2,7,0.231,2.85
SRR054632,A2,7,0.2342,2.85
SRR054633,A2,7,0.2236,2.85
SRR054634,A2,7,0.2422,2.8
SRR054607,A1,6,0.2022,4.1
SRR054604,A1,5,0.2276,4.45
SRR054592,A1,4,0.2346,3.15
SRR054594,A1,4,0.2342,3.15
SRR054596,A1,4,0.2392,2.95
SRR054597,A1,4,0.2368,3.05
SRR054598,A1,4,0.2326,3
SRR054600,A1,4,0.2336,3.1
SRR054601,A1,4,0.2394,3.1
SRR054602,A1,4,0.2346,3.2
SRR054603,A1,4,0.2314,3.1
SRR054605,A1,4,0.229,3.05
SRR054606,A1,4,0.2236,3.05
SRR054608,A1,4,0.2352,3.05
SRR054609,A1,4,0.2436,3
SRR054610,A1,4,0.2152,3.05
SRR054611,A1,4,0.2456,2.95
SRR054612,A1,4,0.239,3.1
SRR054613,A1,4,0.2156,3.15
SRR054614,A1,4,0.2096,3
SRR054615,A1,4,0.2236,3
SRR054616,A1,4,0.2232,3.1
SRR054618,A1,4,0.222,3.1
SRR054620,A1,4,0.2154,3.1
SRR054622,A1,4,0.23,3.1
SRR053676,H,3,0.251,1.65
SRR053677,H,3,0.2354,1.65
SRR053678,H,3,0.2476,1.75
SRR053679,H,3,0.2492,1.7
SRR053680,H,3,0.2498,1.65
SRR053681,H,3,0.2504,1.7
SRR054213,H,3,0.2454,1.7
SRR054565,H,3,0.2658,1.7
SRR054566,H,3,0.2326,1.7
SRR054567,H,3,0.25,1.7
SRR054568,H,3,0.2374,1.75
SRR054569,H,3,0.2318,1.7
SRR054570,H,3,0.2262,1.7
SRR054571,H,3,0.2384,1.7
SRR054572,H,3,0.2604,1.85
SRR054573,H,3,0.2336,1.7
SRR054574,H,3,0.2562,1.75
SRR054575,H,3,0.2426,1.7
SRR054576,H,3,0.2336,1.7
SRR054577,H,3,0.2476,1.7
SRR054578,H,3,0.2454,1.75
SRR089401,H,3,0.2312,1.7
SRR089402,H,3,0.2528,1.7
SRR089403,H,3,0.2398,1.7
SRR053671,A1,2,0.1842,2.9
SRR052047,D,1,0.0924,2
SRR052148,D,1,0.0914,2
SRR053437,D,1,0.0942,2
SRR053600,D,1,0.127,2
SRR053602,D,1,0.093,2
SRR053604,D,1,0.1044,2
SRR053605,D,1,0.0938,2
SRR053606,D,1,0.1076,3
SRR053607,D,1,0.0962,2
SRR053608,D,1,0.0896,2
SRR053609,D,1,0.1034,2
SRR053610,D,1,0.0946,2
SRR053611,D,1,0.0816,2
SRR053615,D,1,0.0938,2
SRR053616,D,1,0.1,2
SRR053617,D,1,0.0836,2
SRR053618,D,1,0.0838,2
SRR053619,D,1,0.0834,2
SRR053620,D,1,0.0902,2
SRR053623,D,1,0.0826,2
SRR053624,D,1,0.09,2
SRR053629,D,1,0.1016,2
SRR053630,D,1,0.0848,2
SRR053631,D,1,0.093,2
SRR053632,D,1,0.0984,2
SRR053633,D,1,0.0888,2
SRR053634,D,1,0.0886,2
SRR053635,D,1,0.0932,2
SRR053636,D,1,0.0912,2
SRR053637,D,1,0.0926,2
SRR053638,D,1,0.0914,2
SRR053639,D,1,0.1056,2
SRR053666,D,1,0.11,2
SRR053667,D,1,0.1084,2
SRR053668,D,1,0.162,1.75
SRR053669,D,1,0.1032,2
SRR053670,D,1,0.1526,2
SRR053672,D,1,0.1466,1.95
SRR053673,D,1,0.1354,2
SRR053674,D,1,0.1688,1.95
SRR053675,D,1,0.1162,2.05
SRR089377,D,1,0.0824,2
SRR089378,D,1,0.0858,2
SRR089379,D,1,0.0862,2
SRR089397,D,1,0.0756,2